	Precision 	  Recall  	 F 
a       	   82.28% 	  82.28% 	  82.28%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  93.33% 	  96.55%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.68% 	  95.00% 	  93.83%
if2     	  100.00% 	  66.67% 	  80.00%
if3     	  100.00% 	  87.50% 	  93.33%
if4     	   92.86% 	  78.79% 	  85.25%
l       	   89.80% 	  93.62% 	  91.67%
qt      	   95.02% 	  93.75% 	  94.38%
sp      	   96.97% 	  96.97% 	  96.97%
ti      	  100.00% 	  95.45% 	  97.67%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	   50.00% 	  50.00% 	  50.00%
tv      	   92.13% 	  96.47% 	  94.25%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.57% 	  92.09% 	  92.82% 
