	Precision 	  Recall  	 F 
a       	   83.87% 	  86.67% 	  85.25%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   66.67% 	  26.67% 	  38.10%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   95.83% 	  88.46% 	  92.00%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   90.32% 	  84.85% 	  87.50%
if4     	   96.88% 	  83.78% 	  89.86%
l       	   90.24% 	  90.24% 	  90.24%
qt      	   95.43% 	  91.27% 	  93.30%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	   95.24% 	  95.24% 	  95.24%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	   50.00% 	  33.33% 	  40.00%
tv      	   89.04% 	  97.01% 	  92.86%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.56% 	  89.51% 	  91.01% 
