	Precision 	  Recall  	 F 
a       	   85.98% 	  86.62% 	  86.30%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   71.43% 	  71.43% 	  71.43%
dl      	   96.97% 	 100.00% 	  98.46%
if1     	   85.29% 	  85.29% 	  85.29%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   85.51% 	  80.82% 	  83.10%
if4     	   90.48% 	  79.17% 	  84.44%
l       	   85.00% 	  85.86% 	  85.43%
qt      	   95.24% 	  95.24% 	  95.24%
sp      	  100.00% 	  92.86% 	  96.30%
ti      	   93.75% 	  93.75% 	  93.75%
tl      	   77.78% 	  87.50% 	  82.35%
tp      	   50.00% 	  25.00% 	  33.33%
tv      	   95.09% 	  96.79% 	  95.93%
v       	   93.85% 	  95.31% 	  94.57%
Overall 	   91.49% 	  91.29% 	  91.39% 
