	Precision 	  Recall  	 F 
a       	   89.20% 	  86.10% 	  87.62%
ac      	  100.00% 	  85.71% 	  92.31%
ano     	   69.23% 	  60.00% 	  64.29%
dl      	   93.10% 	  96.43% 	  94.74%
if1     	   82.50% 	  91.67% 	  86.84%
if2     	   50.00% 	 100.00% 	  66.67%
if3     	   74.55% 	  69.49% 	  71.93%
if4     	   72.34% 	  68.00% 	  70.10%
l       	   71.28% 	  83.75% 	  77.01%
qt      	   93.28% 	  93.77% 	  93.52%
sp      	  100.00% 	  75.00% 	  85.71%
ti      	   94.74% 	  94.74% 	  94.74%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  25.00% 	  40.00%
tv      	   94.21% 	  94.21% 	  94.21%
v       	   95.74% 	  95.74% 	  95.74%
Overall 	   89.03% 	  88.68% 	  88.85% 
