	Precision 	  Recall  	 F 
a       	   94.23% 	  94.23% 	  94.23%
ac      	   80.00% 	  80.00% 	  80.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  33.33% 	  50.00%
if3     	   80.00% 	  84.21% 	  82.05%
if4     	   87.50% 	 100.00% 	  93.33%
l       	   97.44% 	  97.44% 	  97.44%
qt      	   99.50% 	  99.50% 	  99.50%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	   60.00% 	  75.00% 	  66.67%
tp      	  100.00% 	  50.00% 	  66.67%
tv      	  100.00% 	 100.00% 	 100.00%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   96.88% 	  96.75% 	  96.82% 
