	Precision 	  Recall  	 F 
a       	   84.24% 	  90.96% 	  87.47%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	    0.00% 	   0.00% 	   0.00%
if1     	   50.00% 	  50.00% 	  50.00%
if3     	   90.48% 	  54.29% 	  67.86%
if4     	   91.67% 	  78.57% 	  84.62%
l       	   95.35% 	  89.13% 	  92.13%
qt      	   99.00% 	  99.00% 	  99.00%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	  100.00% 	  80.00% 	  88.89%
tv      	  100.00% 	  98.95% 	  99.47%
v       	   96.67% 	  87.88% 	  92.06%
Overall 	   94.03% 	  92.11% 	  93.06% 
