	Precision 	  Recall  	 F 
a       	   87.14% 	  86.78% 	  86.96%
ac      	   90.91% 	  90.91% 	  90.91%
ano     	   83.33% 	  55.56% 	  66.67%
dl      	   96.15% 	  96.15% 	  96.15%
if1     	   91.30% 	  91.30% 	  91.30%
if2     	   66.67% 	 100.00% 	  80.00%
if3     	   80.60% 	  73.97% 	  77.14%
if4     	   89.19% 	  82.50% 	  85.71%
l       	   87.80% 	  81.82% 	  84.71%
qt      	   93.14% 	  92.68% 	  92.91%
sp      	  100.00% 	  96.43% 	  98.18%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	   81.82% 	  81.82% 	  81.82%
tp      	   83.33% 	  90.91% 	  86.96%
tv      	   94.58% 	  97.04% 	  95.80%
v       	   96.72% 	  95.16% 	  95.93%
Overall 	   91.33% 	  90.18% 	  90.75% 
