	Precision 	  Recall  	 F 
a       	   90.43% 	  89.01% 	  89.71%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	    0.00% 	   0.00% 	   0.00%
if1     	  100.00% 	  33.33% 	  50.00%
if3     	   73.33% 	  73.33% 	  73.33%
if4     	   80.00% 	  44.44% 	  57.14%
l       	   98.28% 	  98.28% 	  98.28%
qt      	   99.50% 	  99.50% 	  99.50%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   99.00% 	  99.00% 	  99.00%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   95.54% 	  94.23% 	  94.88% 
