	Precision 	  Recall  	 F 
a       	   92.69% 	  93.24% 	  92.96%
ac      	  100.00% 	  96.00% 	  97.96%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   85.71% 	  40.00% 	  54.55%
if3     	   90.52% 	  77.21% 	  83.33%
if4     	   81.58% 	  53.45% 	  64.58%
l       	   92.69% 	  92.69% 	  92.69%
qt      	   99.43% 	  99.54% 	  99.49%
tl      	  100.00% 	  83.33% 	  90.91%
tp      	  100.00% 	  84.62% 	  91.67%
tv      	  100.00% 	  99.42% 	  99.71%
v       	   97.62% 	  96.47% 	  97.04%
Overall 	   96.65% 	  95.02% 	  95.83% 
