	Precision 	  Recall  	 F 
a       	   85.87% 	  87.78% 	  86.81%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   80.00% 	  53.33% 	  64.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   95.83% 	  88.46% 	  92.00%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   89.66% 	  78.79% 	  83.87%
if4     	   93.55% 	  78.38% 	  85.29%
l       	   85.37% 	  85.37% 	  85.37%
qt      	   89.73% 	  87.77% 	  88.74%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	   50.00% 	  33.33% 	  40.00%
tv      	   86.11% 	  92.54% 	  89.21%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   90.19% 	  87.79% 	  88.98% 
