	Precision 	  Recall  	 F 
a       	   90.00% 	  86.35% 	  88.14%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  75.00% 	  75.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   79.41% 	  75.00% 	  77.14%
if3     	   80.00% 	  78.69% 	  79.34%
if4     	   78.26% 	  67.92% 	  72.73%
l       	   78.13% 	  80.65% 	  79.37%
qt      	   95.83% 	  93.99% 	  94.90%
sp      	   93.75% 	 100.00% 	  96.77%
ti      	   86.96% 	  86.96% 	  86.96%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   96.38% 	  97.44% 	  96.90%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   91.58% 	  90.02% 	  90.79% 
