	Precision 	  Recall  	 F 
a       	   82.86% 	  84.06% 	  83.45%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   84.62% 	  73.33% 	  78.57%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   90.32% 	 100.00% 	  94.92%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   82.61% 	  67.86% 	  74.51%
if4     	   85.71% 	  64.86% 	  73.85%
l       	   83.05% 	  83.05% 	  83.05%
qt      	   90.55% 	  87.92% 	  89.22%
sp      	   91.43% 	  96.97% 	  94.12%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	   50.00% 	  33.33% 	  40.00%
tv      	   91.36% 	  94.87% 	  93.08%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   89.67% 	  87.44% 	  88.54% 
