	Precision 	  Recall  	 F 
a       	   91.57% 	  96.82% 	  94.12%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  25.00% 	  40.00%
if3     	   96.43% 	  77.14% 	  85.71%
if4     	   85.71% 	  50.00% 	  63.16%
l       	   90.70% 	  95.12% 	  92.86%
qt      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	  100.00% 	  98.84% 	  99.42%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   96.72% 	  95.46% 	  96.08% 
