	Precision 	  Recall  	 F 
a       	   89.58% 	  89.58% 	  89.58%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  64.29% 	  69.23%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   97.22% 	  85.37% 	  90.91%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   81.69% 	  81.69% 	  81.69%
if4     	   80.49% 	  71.74% 	  75.86%
l       	   82.80% 	  85.56% 	  84.15%
qt      	   96.42% 	  96.42% 	  96.42%
sp      	  100.00% 	  95.45% 	  97.67%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  66.67% 	  80.00%
tv      	   95.16% 	  95.93% 	  95.55%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.66% 	  92.00% 	  92.33% 
