	Precision 	  Recall  	 F 
a       	   91.76% 	  86.35% 	  88.97%
ac      	   92.31% 	  92.31% 	  92.31%
ano     	   90.91% 	  62.50% 	  74.07%
dl      	  100.00% 	  96.77% 	  98.36%
if1     	   85.29% 	  80.56% 	  82.86%
if3     	   86.89% 	  86.89% 	  86.89%
if4     	   70.83% 	  64.15% 	  67.33%
l       	   77.08% 	  79.57% 	  78.31%
qt      	   95.16% 	  94.47% 	  94.81%
sp      	   93.75% 	 100.00% 	  96.77%
ti      	   95.45% 	  91.30% 	  93.33%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   98.54% 	  98.90% 	  98.72%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.59% 	  90.54% 	  91.55% 
