	Precision 	  Recall  	 F 
a       	   86.08% 	  88.31% 	  87.18%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  81.25% 	  89.66%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	  100.00% 	  88.89% 	  94.12%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   83.33% 	  76.92% 	  80.00%
if4     	   76.32% 	  80.56% 	  78.38%
l       	   87.50% 	  92.11% 	  89.74%
qt      	   91.67% 	  87.61% 	  89.59%
sp      	  100.00% 	  94.12% 	  96.97%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   90.12% 	  87.95% 	  89.02%
v       	   93.94% 	  91.18% 	  92.54%
Overall 	   90.74% 	  86.66% 	  88.65% 
