	Precision 	  Recall  	 F 
a       	   84.15% 	  89.61% 	  86.79%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  75.00% 	  85.71%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   91.18% 	  86.11% 	  88.57%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   86.11% 	  79.49% 	  82.67%
if4     	   78.95% 	  83.33% 	  81.08%
l       	   85.37% 	  92.11% 	  88.61%
qt      	   92.96% 	  87.61% 	  90.21%
sp      	  100.00% 	  94.12% 	  96.97%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   91.46% 	  90.36% 	  90.91%
v       	   97.06% 	  97.06% 	  97.06%
Overall 	   90.95% 	  87.41% 	  89.14% 
