	Precision 	  Recall  	 F 
a       	   84.92% 	  89.89% 	  87.34%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	    0.00% 	   0.00% 	   0.00%
if1     	   66.67% 	 100.00% 	  80.00%
if3     	   90.48% 	  54.29% 	  67.86%
if4     	   91.67% 	  78.57% 	  84.62%
l       	   97.62% 	  89.13% 	  93.18%
qt      	  100.00% 	 100.00% 	 100.00%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	  100.00% 	  80.00% 	  88.89%
tv      	   99.47% 	  98.95% 	  99.21%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   94.72% 	  92.79% 	  93.75% 
