	Precision 	  Recall  	 F 
a       	   89.08% 	  90.21% 	  89.64%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   84.62% 	  73.33% 	  78.57%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   85.71% 	  93.75% 	  89.55%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   81.25% 	  70.91% 	  75.73%
if4     	   89.19% 	  67.35% 	  76.74%
l       	   85.87% 	  83.16% 	  84.49%
qt      	   94.95% 	  93.46% 	  94.20%
sp      	   91.43% 	  96.97% 	  94.12%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	   71.43% 	  62.50% 	  66.67%
tv      	   97.19% 	  97.98% 	  97.58%
v       	   98.31% 	  98.31% 	  98.31%
Overall 	   92.66% 	  90.97% 	  91.81% 
