	Precision 	  Recall  	 F 
a       	   91.14% 	  92.70% 	  91.91%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  75.00% 	  85.71%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   91.89% 	  85.00% 	  88.31%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   86.15% 	  82.35% 	  84.21%
if4     	   78.26% 	  75.00% 	  76.60%
l       	   90.11% 	  95.35% 	  92.66%
qt      	   95.88% 	  92.77% 	  94.30%
sp      	  100.00% 	  94.12% 	  96.97%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  37.50% 	  54.55%
tp      	  100.00% 	  25.00% 	  40.00%
tv      	   96.85% 	  95.72% 	  96.28%
v       	   96.08% 	  96.08% 	  96.08%
Overall 	   93.80% 	  91.47% 	  92.62% 
