	Precision 	  Recall  	 F 
a       	   88.84% 	  91.49% 	  90.15%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   91.67% 	  73.33% 	  81.48%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   90.32% 	  87.50% 	  88.89%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   85.11% 	  72.73% 	  78.43%
if4     	   85.29% 	  59.18% 	  69.88%
l       	   91.21% 	  87.37% 	  89.25%
qt      	   93.83% 	  91.62% 	  92.72%
sp      	   91.43% 	  96.97% 	  94.12%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  75.00% 	  85.71%
tv      	   97.19% 	  97.98% 	  97.58%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.17% 	  90.74% 	  91.94% 
