	Precision 	  Recall  	 F 
a       	   92.07% 	  96.18% 	  94.08%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  50.00% 	  66.67%
if3     	   96.55% 	  80.00% 	  87.50%
if4     	   77.78% 	  58.33% 	  66.67%
l       	   90.70% 	  95.12% 	  92.86%
qt      	   99.43% 	  99.43% 	  99.43%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	  100.00% 	  98.84% 	  99.42%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   96.56% 	  95.62% 	  96.09% 
