	Precision 	  Recall  	 F 
a       	   83.10% 	  85.51% 	  84.29%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   91.67% 	  73.33% 	  81.48%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   93.33% 	 100.00% 	  96.55%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   79.17% 	  67.86% 	  73.08%
if4     	   88.46% 	  62.16% 	  73.02%
l       	   91.23% 	  88.14% 	  89.66%
qt      	   88.38% 	  84.54% 	  86.42%
sp      	   91.43% 	  96.97% 	  94.12%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   91.36% 	  94.87% 	  93.08%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   90.18% 	  86.82% 	  88.47% 
