	Precision 	  Recall  	 F 
a       	   89.06% 	  90.08% 	  89.56%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   80.00% 	  53.33% 	  64.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   96.15% 	  86.21% 	  90.91%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   93.33% 	  82.35% 	  87.50%
if4     	   94.87% 	  78.72% 	  86.05%
l       	   91.57% 	  89.41% 	  90.48%
qt      	   94.58% 	  93.47% 	  94.02%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	   80.00% 	  80.00% 	  80.00%
tp      	   50.00% 	  33.33% 	  40.00%
tv      	   96.32% 	  98.13% 	  97.22%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.96% 	  92.28% 	  93.11% 
