	Precision 	  Recall  	 F 
a       	   86.30% 	  79.75% 	  82.89%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  93.33% 	  96.55%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.68% 	  95.00% 	  93.83%
if2     	  100.00% 	  66.67% 	  80.00%
if3     	  100.00% 	  87.50% 	  93.33%
if4     	   90.32% 	  84.85% 	  87.50%
l       	   93.48% 	  91.49% 	  92.47%
qt      	   95.00% 	  93.30% 	  94.14%
sp      	   96.97% 	  96.97% 	  96.97%
ti      	  100.00% 	  95.45% 	  97.67%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	   50.00% 	  50.00% 	  50.00%
tv      	   92.13% 	  96.47% 	  94.25%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   94.24% 	  91.80% 	  93.00% 
