	Precision 	  Recall  	 F 
a       	   93.24% 	  92.79% 	  93.01%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  33.33% 	  50.00%
if3     	   78.95% 	  78.95% 	  78.95%
if4     	  100.00% 	 100.00% 	 100.00%
l       	  100.00% 	  94.87% 	  97.37%
qt      	   99.50% 	  99.50% 	  99.50%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	   60.00% 	  75.00% 	  66.67%
tp      	  100.00% 	  50.00% 	  66.67%
tv      	  100.00% 	  99.50% 	  99.75%
v       	  100.00% 	  93.75% 	  96.77%
Overall 	   97.00% 	  95.90% 	  96.44% 
