	Precision 	  Recall  	 F 
a       	   88.30% 	  89.31% 	  88.80%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   66.67% 	  26.67% 	  38.10%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   96.15% 	  86.21% 	  90.91%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   93.55% 	  85.29% 	  89.23%
if4     	   95.00% 	  80.85% 	  87.36%
l       	   92.86% 	  91.76% 	  92.31%
qt      	   97.61% 	  95.34% 	  96.46%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	   95.24% 	  95.24% 	  95.24%
tl      	   80.00% 	  80.00% 	  80.00%
tp      	   50.00% 	  33.33% 	  40.00%
tv      	   97.07% 	  99.25% 	  98.15%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   94.92% 	  92.95% 	  93.93% 
