	Precision 	  Recall  	 F 
a       	   82.19% 	  75.95% 	  78.95%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   93.33% 	  93.33% 	  93.33%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.68% 	  95.00% 	  93.83%
if2     	  100.00% 	  66.67% 	  80.00%
if3     	   97.30% 	  90.00% 	  93.51%
if4     	  100.00% 	  75.76% 	  86.21%
l       	   89.80% 	  93.62% 	  91.67%
qt      	   95.05% 	  94.20% 	  94.62%
sp      	   96.97% 	  96.97% 	  96.97%
ti      	  100.00% 	  95.45% 	  97.67%
tl      	  100.00% 	  75.00% 	  85.71%
tp      	   50.00% 	  50.00% 	  50.00%
tv      	   91.30% 	  98.82% 	  94.92%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.56% 	  91.94% 	  92.74% 
