	Precision 	  Recall  	 F 
a       	   74.42% 	  75.29% 	  74.85%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   80.00% 	  47.06% 	  59.26%
dl      	   96.30% 	  96.30% 	  96.30%
if1     	   97.83% 	  90.00% 	  93.75%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   87.10% 	  72.97% 	  79.41%
if4     	   89.29% 	  80.65% 	  84.75%
l       	   94.12% 	  97.96% 	  96.00%
qt      	   91.24% 	  90.00% 	  90.62%
sp      	  100.00% 	  96.43% 	  98.18%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  60.00% 	  75.00%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   91.03% 	  98.61% 	  94.67%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   90.62% 	  88.35% 	  89.47% 
