	Precision 	  Recall  	 F 
a       	   88.61% 	  89.36% 	  88.98%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   85.71% 	  80.00% 	  82.76%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   87.88% 	  90.63% 	  89.23%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   82.22% 	  67.27% 	  74.00%
if4     	   82.86% 	  59.18% 	  69.05%
l       	   90.91% 	  84.21% 	  87.43%
qt      	   94.97% 	  93.98% 	  94.47%
sp      	   91.43% 	  96.97% 	  94.12%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  75.00% 	  85.71%
tv      	   95.69% 	  98.79% 	  97.21%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.89% 	  90.97% 	  91.92% 
