	Precision 	  Recall  	 F 
a       	   88.80% 	  87.79% 	  88.29%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  40.00% 	  52.17%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   96.15% 	  86.21% 	  90.91%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   96.72% 	  86.76% 	  91.47%
if4     	   88.37% 	  80.85% 	  84.44%
l       	   88.24% 	  88.24% 	  88.24%
qt      	   96.22% 	  94.87% 	  95.54%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	   80.00% 	  80.00% 	  80.00%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   97.42% 	  98.88% 	  98.14%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   94.47% 	  92.51% 	  93.48% 
