	Precision 	  Recall  	 F 
a       	   85.61% 	  87.26% 	  86.42%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   76.92% 	  66.67% 	  71.43%
dl      	   96.43% 	  96.43% 	  96.43%
if1     	   85.00% 	  94.44% 	  89.47%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   87.23% 	  69.49% 	  77.36%
if4     	   79.55% 	  70.00% 	  74.47%
l       	   77.11% 	  80.00% 	  78.53%
qt      	   93.77% 	  93.77% 	  93.77%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	   94.74% 	  94.74% 	  94.74%
tl      	   75.00% 	 100.00% 	  85.71%
tp      	   50.00% 	  25.00% 	  33.33%
tv      	   96.12% 	  95.75% 	  95.94%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   90.57% 	  89.86% 	  90.21% 
