	Precision 	  Recall  	 F 
a       	   87.31% 	  86.35% 	  86.83%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   66.67% 	  62.50% 	  64.52%
dl      	   96.88% 	 100.00% 	  98.41%
if1     	   93.75% 	  83.33% 	  88.24%
if3     	   82.26% 	  83.61% 	  82.93%
if4     	   76.92% 	  75.47% 	  76.19%
l       	   88.76% 	  84.95% 	  86.81%
qt      	   92.84% 	  93.51% 	  93.17%
sp      	   93.75% 	 100.00% 	  96.77%
ti      	   95.45% 	  91.30% 	  93.33%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   97.47% 	  98.90% 	  98.18%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   91.40% 	  91.13% 	  91.27% 
