	Precision 	  Recall  	 F 
a       	   93.01% 	  93.12% 	  93.07%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   70.00% 	  46.67% 	  56.00%
if3     	   86.96% 	  73.53% 	  79.68%
if4     	   85.71% 	  62.07% 	  72.00%
l       	   92.24% 	  92.24% 	  92.24%
qt      	   99.54% 	  99.54% 	  99.54%
tl      	  100.00% 	  91.67% 	  95.65%
tp      	  100.00% 	  84.62% 	  91.67%
tv      	   99.88% 	  99.19% 	  99.53%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   96.62% 	  95.08% 	  95.85% 
