	Precision 	  Recall  	 F 
a       	   86.57% 	  84.06% 	  85.29%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   84.62% 	  73.33% 	  78.57%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   93.33% 	 100.00% 	  96.55%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   76.92% 	  71.43% 	  74.07%
if4     	   78.57% 	  59.46% 	  67.69%
l       	   90.74% 	  83.05% 	  86.73%
qt      	   90.45% 	  86.96% 	  88.67%
sp      	   91.67% 	 100.00% 	  95.65%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   88.24% 	  96.15% 	  92.02%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   90.10% 	  87.44% 	  88.75% 
