	Precision 	  Recall  	 F 
a       	   83.56% 	  77.22% 	  80.26%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  93.33% 	  96.55%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.68% 	  95.00% 	  93.83%
if2     	  100.00% 	  66.67% 	  80.00%
if3     	   94.59% 	  87.50% 	  90.91%
if4     	   89.29% 	  75.76% 	  81.97%
l       	   93.62% 	  93.62% 	  93.62%
qt      	   94.09% 	  92.41% 	  93.24%
sp      	   96.97% 	  96.97% 	  96.97%
ti      	  100.00% 	  95.45% 	  97.67%
tl      	  100.00% 	  75.00% 	  85.71%
tp      	   50.00% 	  50.00% 	  50.00%
tv      	   91.21% 	  97.65% 	  94.32%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.24% 	  91.22% 	  92.22% 
