	Precision 	  Recall  	 F 
a       	   87.50% 	  89.67% 	  88.57%
ac      	   90.91% 	  90.91% 	  90.91%
ano     	   66.67% 	  55.56% 	  60.61%
dl      	   96.30% 	 100.00% 	  98.11%
if1     	   97.67% 	  91.30% 	  94.38%
if2     	   66.67% 	 100.00% 	  80.00%
if3     	   83.61% 	  69.86% 	  76.12%
if4     	   76.74% 	  82.50% 	  79.52%
l       	   84.71% 	  81.82% 	  83.24%
qt      	   92.40% 	  91.95% 	  92.18%
sp      	   93.10% 	  96.43% 	  94.74%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	   84.62% 	 100.00% 	  91.67%
tp      	   75.00% 	  81.82% 	  78.26%
tv      	   94.96% 	  97.78% 	  96.35%
v       	   96.72% 	  95.16% 	  95.93%
Overall 	   90.62% 	  90.55% 	  90.59% 
