	Precision 	  Recall  	 F 
a       	   90.91% 	  89.01% 	  89.95%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	    0.00% 	   0.00% 	   0.00%
if1     	  100.00% 	  33.33% 	  50.00%
if3     	   75.86% 	  73.33% 	  74.58%
if4     	  100.00% 	  55.56% 	  71.43%
l       	   98.31% 	 100.00% 	  99.15%
qt      	  100.00% 	 100.00% 	 100.00%
tl      	   50.00% 	 100.00% 	  66.67%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   99.00% 	  99.00% 	  99.00%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   96.10% 	  94.78% 	  95.44% 
