	Precision 	  Recall  	 F 
a       	   79.75% 	  74.12% 	  76.83%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  35.29% 	  48.00%
dl      	   92.86% 	  96.30% 	  94.55%
if1     	   97.83% 	  90.00% 	  93.75%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   92.86% 	  70.27% 	  80.00%
if4     	   89.29% 	  80.65% 	  84.75%
l       	   97.87% 	  93.88% 	  95.83%
qt      	   93.52% 	  91.82% 	  92.66%
sp      	  100.00% 	  96.43% 	  98.18%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  60.00% 	  75.00%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   90.91% 	  97.22% 	  93.96%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.55% 	  87.91% 	  90.17% 
