	Precision 	  Recall  	 F 
a       	   86.69% 	  88.84% 	  87.76%
ac      	   90.91% 	  90.91% 	  90.91%
ano     	   91.67% 	  61.11% 	  73.33%
dl      	   83.87% 	 100.00% 	  91.23%
if1     	   97.73% 	  93.48% 	  95.56%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   80.65% 	  68.49% 	  74.07%
if4     	   75.56% 	  85.00% 	  80.00%
l       	   87.50% 	  79.55% 	  83.33%
qt      	   94.61% 	  94.15% 	  94.38%
sp      	   90.00% 	  96.43% 	  93.10%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	   83.33% 	  90.91% 	  86.96%
tp      	   91.67% 	 100.00% 	  95.65%
tv      	   94.66% 	  98.52% 	  96.55%
v       	   96.72% 	  95.16% 	  95.93%
Overall 	   91.22% 	  91.29% 	  91.26% 
