	Precision 	  Recall  	 F 
a       	   89.22% 	  89.22% 	  89.22%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   76.92% 	  71.43% 	  74.07%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   85.29% 	  85.29% 	  85.29%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   85.71% 	  82.19% 	  83.92%
if4     	   97.50% 	  81.25% 	  88.64%
l       	   84.16% 	  85.86% 	  85.00%
qt      	   95.91% 	  95.00% 	  95.45%
sp      	   92.86% 	  92.86% 	  92.86%
ti      	   93.75% 	  93.75% 	  93.75%
tl      	   87.50% 	  87.50% 	  87.50%
tp      	   50.00% 	  50.00% 	  50.00%
tv      	   97.51% 	  97.86% 	  97.68%
v       	   96.97% 	 100.00% 	  98.46%
Overall 	   93.09% 	  92.36% 	  92.73% 
