	Precision 	  Recall  	 F 
a       	   92.11% 	  92.88% 	  92.49%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   75.00% 	  40.00% 	  52.17%
if3     	   89.29% 	  73.53% 	  80.65%
if4     	   87.50% 	  60.34% 	  71.43%
l       	   92.24% 	  92.24% 	  92.24%
qt      	   99.66% 	  99.66% 	  99.66%
tl      	  100.00% 	  91.67% 	  95.65%
tp      	  100.00% 	  84.62% 	  91.67%
tv      	  100.00% 	  99.42% 	  99.71%
v       	   97.65% 	  97.65% 	  97.65%
Overall 	   96.53% 	  94.99% 	  95.75% 
