	Precision 	  Recall  	 F 
a       	   86.86% 	  87.82% 	  87.34%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   90.91% 	  62.50% 	  74.07%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   90.91% 	  83.33% 	  86.96%
if3     	   84.75% 	  81.97% 	  83.33%
if4     	   72.00% 	  67.92% 	  69.90%
l       	   84.44% 	  81.72% 	  83.06%
qt      	   93.70% 	  93.03% 	  93.37%
sp      	   88.24% 	 100.00% 	  93.75%
ti      	  100.00% 	  91.30% 	  95.45%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   97.07% 	  97.07% 	  97.07%
v       	  100.00% 	  98.00% 	  98.99%
Overall 	   91.39% 	  90.24% 	  90.81% 
