	Precision 	  Recall  	 F 
a       	   88.72% 	  87.73% 	  88.22%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   83.33% 	  71.43% 	  76.92%
dl      	   96.97% 	 100.00% 	  98.46%
if1     	   85.29% 	  85.29% 	  85.29%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   85.29% 	  79.45% 	  82.27%
if4     	   90.24% 	  77.08% 	  83.15%
l       	   87.13% 	  88.89% 	  88.00%
qt      	   95.64% 	  94.05% 	  94.84%
sp      	   92.86% 	  92.86% 	  92.86%
ti      	   93.75% 	  93.75% 	  93.75%
tl      	   87.50% 	  87.50% 	  87.50%
tp      	   66.67% 	  50.00% 	  57.14%
tv      	   96.47% 	  97.50% 	  96.98%
v       	   98.44% 	  98.44% 	  98.44%
Overall 	   92.84% 	  91.58% 	  92.20% 
