	Precision 	  Recall  	 F 
a       	   90.68% 	  91.06% 	  90.87%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   84.62% 	  73.33% 	  78.57%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   90.32% 	  87.50% 	  88.89%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   82.98% 	  70.91% 	  76.47%
if4     	   78.38% 	  59.18% 	  67.44%
l       	   91.01% 	  85.26% 	  88.04%
qt      	   94.92% 	  92.93% 	  93.92%
sp      	   91.67% 	 100.00% 	  95.65%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  75.00% 	  85.71%
tv      	   96.03% 	  97.98% 	  96.99%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.26% 	  90.97% 	  92.10% 
