	Precision 	  Recall  	 F 
a       	   85.51% 	  85.51% 	  85.51%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   85.71% 	  80.00% 	  82.76%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   93.33% 	 100.00% 	  96.55%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   79.17% 	  67.86% 	  73.08%
if4     	   78.57% 	  59.46% 	  67.69%
l       	   90.91% 	  84.75% 	  87.72%
qt      	   90.64% 	  88.89% 	  89.76%
sp      	   91.43% 	  96.97% 	  94.12%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   88.51% 	  98.72% 	  93.33%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   90.21% 	  88.53% 	  89.36% 
