	Precision 	  Recall  	 F 
a       	   83.45% 	  84.95% 	  84.19%
ac      	  100.00% 	  91.67% 	  95.65%
ano     	   82.35% 	  87.50% 	  84.85%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   90.00% 	  87.10% 	  88.52%
if2     	  100.00% 	  50.00% 	  66.67%
if3     	   94.00% 	  71.21% 	  81.03%
if4     	   77.78% 	  68.63% 	  72.92%
l       	   88.37% 	  82.61% 	  85.39%
qt      	   94.94% 	  93.81% 	  94.37%
sp      	   95.24% 	  83.33% 	  88.89%
ti      	   94.12% 	  94.12% 	  94.12%
tl      	  100.00% 	  42.86% 	  60.00%
tp      	  100.00% 	  80.00% 	  88.89%
tv      	   98.16% 	  98.52% 	  98.34%
v       	   98.25% 	  88.89% 	  93.33%
Overall 	   92.22% 	  89.30% 	  90.74% 
