	Precision 	  Recall  	 F 
a       	   82.83% 	  87.23% 	  84.97%
ac      	  100.00% 	 100.00% 	 100.00%
if1     	   50.00% 	  50.00% 	  50.00%
if3     	   90.48% 	  54.29% 	  67.86%
if4     	   84.62% 	  78.57% 	  81.48%
l       	   87.18% 	  73.91% 	  80.00%
qt      	   99.00% 	  99.00% 	  99.00%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	  100.00% 	  80.00% 	  88.89%
tv      	  100.00% 	  98.95% 	  99.47%
v       	   96.43% 	  81.82% 	  88.52%
Overall 	   93.23% 	  89.93% 	  91.55% 
