	Precision 	  Recall  	 F 
a       	   88.02% 	  91.42% 	  89.68%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  68.75% 	  81.48%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   97.14% 	  85.00% 	  90.67%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   87.50% 	  82.35% 	  84.85%
if4     	   79.55% 	  72.92% 	  76.09%
l       	   90.11% 	  95.35% 	  92.66%
qt      	   95.64% 	  93.02% 	  94.31%
sp      	   94.12% 	  94.12% 	  94.12%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  37.50% 	  54.55%
tp      	   50.00% 	  25.00% 	  33.33%
tv      	   97.25% 	  96.50% 	  96.88%
v       	   98.04% 	  98.04% 	  98.04%
Overall 	   93.43% 	  91.47% 	  92.44% 
