	Precision 	  Recall  	 F 
a       	   89.20% 	  86.10% 	  87.62%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   90.00% 	  60.00% 	  72.00%
dl      	  100.00% 	  96.43% 	  98.18%
if1     	   87.18% 	  94.44% 	  90.67%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   79.63% 	  72.88% 	  76.11%
if4     	   80.00% 	  64.00% 	  71.11%
l       	   85.53% 	  81.25% 	  83.33%
qt      	   93.98% 	  93.25% 	  93.61%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	  100.00% 	  94.74% 	  97.30%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	   50.00% 	  25.00% 	  33.33%
tv      	   97.66% 	  96.53% 	  97.09%
v       	   97.87% 	  97.87% 	  97.87%
Overall 	   92.36% 	  89.39% 	  90.85% 
