	Precision 	  Recall  	 F 
a       	   83.33% 	  83.33% 	  83.33%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  40.00% 	  52.17%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   95.83% 	  88.46% 	  92.00%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   96.77% 	  90.91% 	  93.75%
if4     	   88.57% 	  83.78% 	  86.11%
l       	   87.50% 	  85.37% 	  86.42%
qt      	   92.83% 	  90.39% 	  91.59%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   90.14% 	  95.52% 	  92.75%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   91.77% 	  89.05% 	  90.39% 
