	Precision 	  Recall  	 F 
a       	   85.56% 	  85.56% 	  85.56%
ac      	   40.00% 	  40.00% 	  40.00%
ano     	   71.43% 	  33.33% 	  45.45%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.00% 	  88.46% 	  90.20%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   90.32% 	  84.85% 	  87.50%
if4     	   90.63% 	  78.38% 	  84.06%
l       	   87.50% 	  85.37% 	  86.42%
qt      	   90.58% 	  88.21% 	  89.38%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   88.57% 	  92.54% 	  90.51%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   90.26% 	  87.01% 	  88.61% 
