	Precision 	  Recall  	 F 
a       	   86.42% 	  90.13% 	  88.24%
ac      	  100.00% 	  90.00% 	  94.74%
ano     	  100.00% 	  75.00% 	  85.71%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  87.50% 	  93.33%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   85.71% 	  79.41% 	  82.44%
if4     	   83.72% 	  75.00% 	  79.12%
l       	   91.01% 	  94.19% 	  92.57%
qt      	   94.64% 	  92.52% 	  93.57%
sp      	   94.12% 	  94.12% 	  94.12%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  37.50% 	  54.55%
tp      	  100.00% 	  25.00% 	  40.00%
tv      	   96.47% 	  95.72% 	  96.09%
v       	   94.00% 	  92.16% 	  93.07%
Overall 	   92.78% 	  90.62% 	  91.69% 
