	Precision 	  Recall  	 F 
a       	   90.76% 	  90.00% 	  90.38%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   90.91% 	  71.43% 	  80.00%
dl      	   96.97% 	  96.97% 	  96.97%
if1     	   97.30% 	  87.80% 	  92.31%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   77.78% 	  78.87% 	  78.32%
if4     	   78.57% 	  71.74% 	  75.00%
l       	   91.01% 	  90.00% 	  90.50%
qt      	   94.42% 	  95.14% 	  94.78%
sp      	  100.00% 	  95.45% 	  97.67%
ti      	   94.12% 	  94.12% 	  94.12%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  66.67% 	  80.00%
tv      	   94.33% 	  94.72% 	  94.52%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.41% 	  91.60% 	  92.00% 
