	Precision 	  Recall  	 F 
a       	   89.47% 	  88.31% 	  88.89%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  87.50% 	  93.33%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	  100.00% 	  88.89% 	  94.12%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   90.91% 	  76.92% 	  83.33%
if4     	   78.38% 	  80.56% 	  79.45%
l       	   89.74% 	  92.11% 	  90.91%
qt      	   91.20% 	  87.17% 	  89.14%
sp      	   94.12% 	  94.12% 	  94.12%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   89.29% 	  90.36% 	  89.82%
v       	   91.18% 	  91.18% 	  91.18%
Overall 	   91.34% 	  86.96% 	  89.09% 
