	Precision 	  Recall  	 F 
a       	   88.31% 	  90.50% 	  89.39%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   83.33% 	  58.82% 	  68.97%
dl      	  100.00% 	  96.67% 	  98.31%
if1     	  100.00% 	  83.33% 	  90.91%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   94.64% 	  73.61% 	  82.81%
if4     	   85.71% 	  69.77% 	  76.92%
l       	   91.30% 	  93.33% 	  92.31%
qt      	   97.17% 	  95.70% 	  96.43%
sp      	  100.00% 	  96.43% 	  98.18%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  66.67% 	  80.00%
tp      	  100.00% 	  50.00% 	  66.67%
tv      	   97.54% 	  97.14% 	  97.34%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   94.89% 	  91.74% 	  93.29% 
