	Precision 	  Recall  	 F 
a       	   88.80% 	  91.06% 	  89.92%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   92.31% 	  80.00% 	  85.71%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   90.32% 	  87.50% 	  88.89%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   82.00% 	  74.55% 	  78.10%
if4     	   93.33% 	  57.14% 	  70.89%
l       	   87.91% 	  84.21% 	  86.02%
qt      	   94.67% 	  92.93% 	  93.79%
sp      	   91.43% 	  96.97% 	  94.12%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  75.00% 	  85.71%
tv      	   97.20% 	  98.38% 	  97.79%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   93.26% 	  90.97% 	  92.10% 
