	Precision 	  Recall  	 F 
a       	   84.15% 	  89.61% 	  86.79%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	  100.00% 	  81.25% 	  89.66%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   93.94% 	  86.11% 	  89.86%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   90.91% 	  76.92% 	  83.33%
if4     	   78.38% 	  80.56% 	  79.45%
l       	   85.37% 	  92.11% 	  88.61%
qt      	   93.93% 	  88.94% 	  91.36%
sp      	  100.00% 	  94.12% 	  96.97%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   90.48% 	  91.57% 	  91.02%
v       	   93.94% 	  91.18% 	  92.54%
Overall 	   91.39% 	  87.56% 	  89.43% 
