	Precision 	  Recall  	 F 
a       	   92.06% 	  92.28% 	  92.17%
ac      	  100.00% 	  96.00% 	  97.96%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   85.71% 	  40.00% 	  54.55%
if3     	   90.68% 	  78.68% 	  84.25%
if4     	   85.71% 	  51.72% 	  64.52%
l       	   91.36% 	  91.78% 	  91.57%
qt      	   99.20% 	  99.31% 	  99.26%
tl      	  100.00% 	  83.33% 	  90.91%
tp      	  100.00% 	  84.62% 	  91.67%
tv      	  100.00% 	  99.30% 	  99.65%
v       	   97.62% 	  96.47% 	  97.04%
Overall 	   96.39% 	  94.63% 	  95.50% 
