	Precision 	  Recall  	 F 
a       	   91.98% 	  90.05% 	  91.01%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	    0.00% 	   0.00% 	   0.00%
if1     	  100.00% 	  66.67% 	  80.00%
if3     	   67.74% 	  70.00% 	  68.85%
if4     	   80.00% 	  44.44% 	  57.14%
l       	   98.28% 	  98.28% 	  98.28%
qt      	   99.50% 	  99.50% 	  99.50%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	  100.00% 	 100.00% 	 100.00%
tv      	   99.00% 	  99.00% 	  99.00%
v       	   95.83% 	  95.83% 	  95.83%
Overall 	   95.55% 	  94.37% 	  94.96% 
