	Precision 	  Recall  	 F 
a       	   88.85% 	  88.85% 	  88.85%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   71.43% 	  71.43% 	  71.43%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   93.33% 	  82.35% 	  87.50%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   94.12% 	  87.67% 	  90.78%
if4     	   87.80% 	  75.00% 	  80.90%
l       	   87.88% 	  87.88% 	  87.88%
qt      	   96.39% 	  95.24% 	  95.81%
sp      	   92.86% 	  92.86% 	  92.86%
ti      	  100.00% 	  93.75% 	  96.77%
tl      	   85.71% 	  75.00% 	  80.00%
tp      	   33.33% 	  25.00% 	  28.57%
tv      	   97.19% 	  98.93% 	  98.05%
v       	   98.44% 	  98.44% 	  98.44%
Overall 	   93.78% 	  92.51% 	  93.14% 
