	Precision 	  Recall  	 F 
a       	   85.00% 	  86.08% 	  85.53%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   90.00% 	  64.29% 	  75.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  90.48% 	  95.00%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   80.00% 	  80.00% 	  80.00%
if4     	   85.71% 	  83.33% 	  84.51%
l       	   89.80% 	  89.80% 	  89.80%
qt      	   89.67% 	  86.82% 	  88.22%
sp      	   86.36% 	 100.00% 	  92.68%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  60.00% 	  75.00%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   96.00% 	  94.74% 	  95.36%
v       	   93.94% 	  93.94% 	  93.94%
Overall 	   90.77% 	  88.41% 	  89.58% 
