	Precision 	  Recall  	 F 
a       	   84.84% 	  87.36% 	  86.08%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   62.50% 	  71.43% 	  66.67%
dl      	   96.97% 	 100.00% 	  98.46%
if1     	   84.85% 	  82.35% 	  83.58%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   87.32% 	  84.93% 	  86.11%
if4     	   90.00% 	  75.00% 	  81.82%
l       	   88.78% 	  87.88% 	  88.32%
qt      	   95.68% 	  95.00% 	  95.34%
sp      	   89.66% 	  92.86% 	  91.23%
ti      	   93.75% 	  93.75% 	  93.75%
tl      	   70.00% 	  87.50% 	  77.78%
tp      	   33.33% 	  25.00% 	  28.57%
tv      	   96.82% 	  97.86% 	  97.34%
v       	   90.63% 	  90.63% 	  90.63%
Overall 	   91.44% 	  91.51% 	  91.47% 
