	Precision 	  Recall  	 F 
a       	   92.82% 	  92.31% 	  92.56%
ac      	   88.89% 	  88.89% 	  88.89%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  75.00% 	  85.71%
if3     	   78.13% 	  69.44% 	  73.53%
if4     	   81.82% 	  50.00% 	  62.07%
l       	   81.25% 	  88.64% 	  84.78%
qt      	   99.50% 	  99.50% 	  99.50%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	    0.00% 	   0.00% 	   0.00%
tv      	   99.50% 	  99.50% 	  99.50%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   95.13% 	  93.82% 	  94.47% 
